city_name,region,federal,population
Камышлов,Свердловская область,Уральский,27 117
Канаш,Чувашия,Приволжский,44 354
Кандалакша,Мурманская область,Северо-Западный,29 138
Канск,Красноярский край,Сибирский,86 816
Карабаново,Владимирская область,Центральный,13 150
Карабаш,Челябинская область,Уральский,10 514
Карабулак,Ингушетия,Северо-Кавказский,43 037
Карасук,Новосибирская область,Сибирский,24 890
Карачаевск,Карачаево-Черкесия,Северо-Кавказский,23 867
Карачев,Брянская область,Центральный,17 449
Каргат,Новосибирская область,Сибирский,8316
Каргополь,Архангельская область,Северо-Западный,8849
Карпинск,Свердловская область,Уральский,25 879
Карталы,Челябинская область,Уральский,27 103
Касимов,Рязанская область,Центральный,28 443
Касли,Челябинская область,Уральский,15 383
Каспийск,Дагестан,Северо-Кавказский,121 140
Катав-Ивановск,Челябинская область,Уральский,14 663
Катайск,Курганская область,Уральский,11 881
Качканар,Свердловская область,Уральский,37 307
Кашин,Тверская область,Центральный,14 113
Кашира,Московская область,Центральный,45 922
Кедровый,Томская область,Сибирский,1818
Кемерово,Кемеровская область,Сибирский,557 119
Кемь,Карелия,Северо-Западный,10 018
Керчь не призн.,Крым,Южный,154 621
Кизел,Пермский край,Приволжский,15 619
Кизилюрт,Дагестан,Северо-Кавказский,38 335
Кизляр,Дагестан,Северо-Кавказский,49 999
Кимовск,Тульская область,Центральный,26 475
Кимры,Тверская область,Центральный,40 875
Кингисепп,Ленинградская область,Северо-Западный,49 716
Кинель,Самарская область,Приволжский,36 729
Кинешма,Ивановская область,Центральный,77 694
Киреевск,Тульская область,Центральный,25 560
Киренск,Иркутская область,Сибирский,10 998
Киржач,Владимирская область,Центральный,27 318
Кириллов,Вологодская область,Северо-Западный,7149
Кириши,Ленинградская область,Северо-Западный,51 028
Киров,Калужская область,Центральный,28 097
Киров,Кировская область,Приволжский,468 212
Кировград,Свердловская область,Уральский,18 698
Кирово-Чепецк,Кировская область,Приволжский,66 651
Кировск,Ленинградская область,Северо-Западный,27 238
Кировск,Мурманская область,Северо-Западный,24 857
Кирс,Кировская область,Приволжский,8982
Кирсанов,Тамбовская область,Центральный,16 164
Киселёвск,Кемеровская область,Сибирский,83 431
Кисловодск,Ставропольский край,Северо-Кавказский,127 521
Клин,Московская область,Центральный,88 511
Клинцы,Брянская область,Центральный,63 059
Княгинино,Нижегородская область,Приволжский,6447
Ковдор,Мурманская область,Северо-Западный,15 770
Ковров,Владимирская область,Центральный,132 417
Ковылкино,Мордовия,Приволжский,19 793
Когалым,Ханты-Мансийский АО,Уральский,61 441
Кодинск,Красноярский край,Сибирский,13 324
Козельск,Калужская область,Центральный,16 759
Козловка,Чувашия,Приволжский,7781
Козьмодемьянск,Марий Эл,Приволжский,19 731
Кола,Мурманская область,Северо-Западный,9016
Кологрив,Костромская область,Центральный,2468
Коломна,Московская область,Центральный,134 850
Колпашево,Томская область,Сибирский,20 824
Колтуши,Ленинградская область,Северо-Западный,14 289
Кольчугино,Владимирская область,Центральный,39 410
Коммунар,Ленинградская область,Северо-Западный,25 793
Комсомольск,Ивановская область,Центральный,8364
Комсомольск-на-Амуре,Хабаровский край,Дальневосточный,238 505
Конаково,Тверская область,Центральный,33 560
Кондопога,Карелия,Северо-Западный,25 851
Кондрово,Калужская область,Центральный,15 734
Константиновск,Ростовская область,Южный,17 207
Копейск,Челябинская область,Уральский,147 806
Кораблино,Рязанская область,Центральный,10 334
Кореновск,Краснодарский край,Южный,41 826
Коркино,Челябинская область,Уральский,37 224
Королёв,Московская область,Центральный,228 095
Короча,Белгородская область,Центральный,5623
Корсаков,Сахалинская область,Дальневосточный,33 950
Коряжма,Архангельская область,Северо-Западный,34 523
Костерёво,Владимирская область,Центральный,7113
Костомукша,Карелия,Северо-Западный,26 048
Кострома,Костромская область,Центральный,267 481
Котельники,Московская область,Центральный,63 728
Котельниково,Волгоградская область,Южный,22 016
Котельнич,Кировская область,Приволжский,20 144
Котлас,Архангельская область,Северо-Западный,56 093
Котово,Волгоградская область,Южный,21 028
Котовск,Тамбовская область,Центральный,26 694
Кохма,Ивановская область,Центральный,30 940
Красавино,Вологодская область,Северо-Западный,5601
Красноармейск,Московская область,Центральный,26 492
Красноармейск,Саратовская область,Приволжский,21 350
Красновишерск,Пермский край,Приволжский,14 460
Красногорск,Московская область,Центральный,187 634
Краснодар,Краснодарский край,Южный,1 099 344
Краснозаводск,Московская область,Центральный,14 639
Краснознаменск,Калининградская область,Северо-Западный,3419
Краснознаменск,Московская область,Центральный,43 868
Краснокаменск,Забайкальский край,Дальневосточный,51 137
Краснокамск,Пермский край,Приволжский,48 778
Красноперекопск не призн.,Крым,Южный,25 569
Краснослободск,Волгоградская область,Южный,16 545
Краснослободск,Мордовия,Приволжский,8910
Краснотурьинск,Свердловская область,Уральский,55 875
Красноуральск,Свердловская область,Уральский,21 507
Красноуфимск,Свердловская область,Уральский,37 301
Красноярск,Красноярский край,Сибирский,1 187 771
Красный Кут,Саратовская область,Приволжский,14 296
Красный Сулин,Ростовская область,Южный,35 697
Красный Холм,Тверская область,Центральный,4998
Кремёнки,Калужская область,Центральный,11 745
Кропоткин,Краснодарский край,Южный,75 858
Крымск,Краснодарский край,Южный,54 597
Кстово,Нижегородская область,Приволжский,63 646
Кубинка,Московская область,Центральный,23 146
Кувандык,Оренбургская область,Приволжский,26 596
Кувшиново,Тверская область,Центральный,9262
Кудрово,Ленинградская область,Северо-Западный,60 791
Кудымкар,Пермский край,Приволжский,28 293
Кузнецк,Пензенская область,Приволжский,78 390
Куйбышев,Новосибирская область,Сибирский,41 946
Кукмор,Татарстан,Приволжский,17 886
Кулебаки,Нижегородская область,Приволжский,32 184
Кумертау,Башкортостан,Приволжский,57 949
Кунгур,Пермский край,Приволжский,62 673
Купино,Новосибирская область,Сибирский,15 065
Курган,Курганская область,Уральский,310 911
Курганинск,Краснодарский край,Южный,47 305
Курильск,Сахалинская область,Дальневосточный,2530
Курлово,Владимирская область,Центральный,6309
Куровское,Московская область,Центральный,19 857
Курск,Курская область,Центральный,440 052
Куртамыш,Курганская область,Уральский,14 806
Курчалой,Чечня,Северо-Кавказский,23 425
Курчатов,Курская область,Центральный,40 318
Куса,Челябинская область,Уральский,17 136
Кушва,Свердловская область,Уральский,27 306
Кызыл,Тыва,Сибирский,125 241
Кыштым,Челябинская область,Уральский,36 045
Кяхта,Бурятия,Дальневосточный,17 877
Лабинск,Краснодарский край,Южный,57 428
Лабытнанги,Ямало-Ненецкий АО,Уральский,25 501
Лагань,Калмыкия,Южный,13 834
Ладушкин,Калининградская область,Северо-Западный,3666
Лаишево,Татарстан,Приволжский,9076
Лакинск,Владимирская область,Центральный,12 861
Лангепас,Ханты-Мансийский АО,Уральский,42 701
Лахденпохья,Карелия,Северо-Западный,5952
Лебедянь,Липецкая область,Центральный,20 049
Лениногорск,Татарстан,Приволжский,60 993
Ленинск,Волгоградская область,Южный,13 391
Ленинск-Кузнецкий,Кемеровская область,Сибирский,92 244
Ленск,Якутия,Дальневосточный,21 392
Лермонтов,Ставропольский край,Северо-Кавказский,22 444
Лесной,Свердловская область,Уральский,48 261
Лесозаводск,Приморский край,Дальневосточный,35 433
Лесосибирск,Красноярский край,Сибирский,55 730
Ливны,Орловская область,Центральный,43 549
Ликино-Дулёво,Московская область,Центральный,34 191
Липецк,Липецкая область,Центральный,496 403
Липки,Тульская область,Центральный,8325
Лиски,Воронежская область,Центральный,54 147
Лихославль,Тверская область,Центральный,11 017
Лобня,Московская область,Центральный,82 764
Лодейное Поле,Ленинградская область,Северо-Западный,18 905
Лосино-Петровский,Московская область,Центральный,29 000
Луга,Ленинградская область,Северо-Западный,38 407
Луза,Кировская область,Приволжский,9122
Лукоянов,Нижегородская область,Приволжский,12 652
Луховицы,Московская область,Центральный,29 889
Лысково,Нижегородская область,Приволжский,21 657
Лысьва,Пермский край,Приволжский,53 855
Лыткарино,Московская область,Центральный,65 212
Льгов,Курская область,Центральный,17 557
Любань,Ленинградская область,Северо-Западный,4565
Люберцы,Московская область,Центральный,224 195
Любим,Ярославская область,Центральный,5037
Людиново,Калужская область,Центральный,35 874
Лянтор,Ханты-Мансийский АО,Уральский,40 977
Магадан,Магаданская область,Дальневосточный,90 757
Магас,Ингушетия,Северо-Кавказский,15 271
